from_stop_I;to_stop_I;d;d_walk
20;191;523;933
21;192;357;600
21;449;669;847
21;194;292;510
21;393;555;748
21;1354;757;806
21;22;57;68
21;23;219;236
21;24;316;329
21;25;656;874
21;193;288;473
21;49;764;970
21;50;618;781
21;51;604;775
21;189;821;833
21;190;922;937
21;191;321;605
22;192;359;642
22;449;629;825
22;194;261;494
22;393;499;731
22;394;742;989
22;23;267;286
22;24;360;371
22;25;679;916
22;1354;803;857
22;193;243;457
22;50;671;831
22;51;657;826
22;189;865;875
22;190;967;987
22;191;316;637
23;192;297;406
23;194;366;505
23;393;752;945
23;1354;538;576
23;399;596;856
23;24;100;135
23;25;482;677
23;26;527;820
23;453;744;847
23;65;716;998
23;193;415;580
23;49;573;740
23;50;411;551
23;51;398;546
23;73;749;986
23;452;768;854
23;189;602;636
23;190;703;707
23;191;295;457
24;192;293;378
24;194;413;577
24;73;651;862
24;1354;444;509
24;399;511;731
24;25;398;553
24;26;448;697
24;27;672;895
24;28;698;910
24;453;646;723
24;193;477;652
24;65;626;874
24;66;641;893
24;49;514;673
24;50;341;483
24;51;329;478
24;452;670;739
24;189;505;511
24;190;607;639
24;191;309;429
25;192;366;394
25;194;566;601
25;73;337;366
25;1354;402;543
25;452;492;651
25;66;258;395
25;399;115;234
25;146;798;987
25;453;466;624
25;409;611;944
25;26;64;386
25;27;319;571
25;28;343;587
25;29;514;708
25;30;501;697
25;31;568;814
25;416;671;918
25;161;724;976
25;164;723;971
25;65;242;376
25;193;659;698
25;48;589;867
25;49;669;769
25;50;507;521
25;51;504;515
25;52;567;716
25;53;520;650
25;54;583;732
25;415;659;909
25;189;391;536
25;190;484;668
25;191;419;448
26;192;376;534
26;65;222;253
26;194;573;741
26;73;350;505
26;1354;460;695
26;452;529;788
26;66;240;272
26;399;88;168
26;145;823;959
26;146;736;863
26;453;504;763
26;407;713;832
26;408;719;804
26;27;256;271
26;28;280;286
26;29;451;502
26;30;438;507
26;31;512;691
26;416;655;797
26;161;661;675
26;164;659;670
26;193;666;838
26;48;537;744
26;50;570;837
26;51;568;831
26;52;558;596
26;53;513;558
26;54;575;613
26;409;595;823
26;415;643;789
26;189;442;678
26;190;530;810
26;191;430;588
27;192;503;732
27;161;406;422
27;194;662;937
27;73;488;684
27;1354;702;878
27;409;602;980
27;452;719;965
27;66;318;451
27;399;261;353
27;415;640;946
27;145;581;706
27;146;490;610
27;407;462;579
27;28;27;33
27;29;201;249
27;30;190;254
27;31;318;438
27;416;652;954
27;33;661;946
27;34;657;938
27;164;404;417
27;165;636;864
27;166;627;840
27;453;697;940
27;408;465;551
27;48;364;491
27;52;594;767
27;53;562;736
27;54;609;784
27;191;549;784
27;189;670;861
27;190;743;992
27;65;306;432
28;192;528;747
28;161;382;391
28;454;797;1000
28;73;499;700
28;1354;722;893
28;452;732;980
28;66;327;466
28;399;280;368
28;415;634;926
28;145;555;675
28;146;464;579
28;416;646;939
28;407;442;548
28;409;597;996
28;29;175;218
28;30;164;223
28;31;295;407
28;32;706;995
28;33;636;915
28;34;631;906
28;164;380;386
28;165;627;833
28;166;618;808
28;194;684;953
28;453;711;956
28;408;444;519
28;48;343;460
28;52;593;783
28;53;562;751
28;54;608;799
28;191;573;800
28;189;688;876
28;65;316;447
29;192;685;949
29;65;435;563
29;454;727;825
29;73;611;815
29;407;307;446
29;66;441;582
29;399;437;490
29;164;218;285
29;145;382;488
29;146;290;379
29;451;732;841
29;148;728;976
29;450;823;936
29;408;298;418
29;409;621;837
29;30;17;20
29;415;648;751
29;416;659;764
29;33;485;718
29;34;479;709
29;32;548;798
29;165;573;791
29;166;557;766
29;161;223;290
29;46;723;943
29;47;722;939
29;48;257;271
29;52;637;883
29;53;618;854
29;54;649;899
29;31;195;207
29;189;835;992
30;192;679;954
30;65;419;553
30;454;720;814
30;73;595;804
30;1354;862;999
30;407;323;451
30;66;425;572
30;399;423;479
30;164;233;289
30;145;392;477
30;146;301;368
30;451;742;830
30;148;733;965
30;450;833;925
30;408;314;423
30;409;607;826
30;415;635;741
30;416;645;754
30;33;488;707
30;34;482;698
