from_stop_I;to_stop_I;d;duration_avg;n_vehicles;route_I_counts;route_type
164;144;849;60.0;66;32:14,203:17,252:2,318:33;3
164;134;1058;240.0;1;242:1;3
167;2352;626;90.0;90;74:45,91:45;3
167;220;646;60.0;91;74:46,91:45;3
168;2259;628;60.0;8;53:8;3
168;358;5236;360.0;9;231:9;3
172;175;363;60.0;14;60:14;3
173;177;804;86.47058823529412;34;58:19,60:14,198:1;3
173;1283;1969;180.0;29;58:20,179:9;3
173;1284;1997;180.0;15;184:15;3
173;1729;2534;180.0;9;231:9;3
173;1211;6622;720.0;2;233:2;3
173;175;349;60.0;8;179:8;3
174;99;3156;240.0;10;208:10;3
174;1149;2622;180.0;12;208:12;3
175;173;349;97.5;24;179:9,60:14,198:1;3
177;1729;1865;180.0;34;58:19,60:14,198:1;3
177;172;691;60.0;14;60:14;3
177;173;804;60.0;20;58:20;3
183;240;754;60.0;43;145:43;3
183;772;418;60.0;41;145:41;3
184;208;489;60.0;121;293:60,270:61;3
184;240;285;112.25806451612904;62;270:62;3
184;206;446;60.0;60;293:60;3
185;188;461;60.0;34;52:34;3
185;191;547;60.0;35;52:35;3
186;187;1574;120.0;107;251:14,52:35,318:36,263:22;3
186;157;2097;120.0;105;251:13,52:34,318:37,263:21;3
187;186;1574;120.0;105;251:13,52:34,318:37,263:21;3
187;188;1208;120.0;35;52:35;3
187;674;1315;120.0;72;251:14,318:36,263:22;3
188;185;461;60.0;35;52:35;3
188;187;1208;120.0;34;52:34;3
189;1578;672;60.0;12;137:11,230:1;3
189;2031;913;120.0;13;137:11,230:2;3
191;185;547;60.0;34;52:34;3
191;1314;547;60.0;35;52:35;3
199;184;310;60.0;60;293:60;3
200;778;793;110.0;6;122:1,119:5;2
200;2316;2814;240.0;6;119:6;2
201;232;345;60.0;62;270:62;3
202;240;462;60.0;61;270:61;3
203;784;199;0.0;14;28:14;3
203;205;394;60.0;14;28:14;3
204;226;311;60.0;61;270:61;3
204;244;672;0.0;62;270:62;3
205;2216;1336;120.0;14;28:14;3
205;203;394;60.0;14;28:14;3
206;775;251;52.0;60;293:60;3
207;1698;1101;120.0;3;309:3;3
207;1687;522;60.0;54;37:54;3
208;184;489;60.0;122;293:60,270:62;3
208;1848;1091;120.0;61;270:61;3
208;1788;915;112.0;60;293:60;3
209;233;506;60.0;16;29:16;3
209;243;503;60.0;30;29:30;3
210;228;404;49.2;50;4:50;3
210;236;525;109.61538461538461;52;4:52;3
212;1402;12993;1140.0;43;145:43;3
212;231;505;60.0;41;145:41;3
214;2403;204;60.0;50;4:50;3
214;228;304;55.38461538461539;52;4:52;3
215;1890;744;105.88235294117646;51;17:51;3
215;236;266;49.2;50;4:50;3
215;238;402;60.0;52;17:52;3
215;247;106;60.0;52;4:52;3
218;2312;2151;300.0;3;62:3;3
218;167;544;90.0;90;74:45,91:45;3
220;1712;2042;180.0;5;62:5;3
220;1705;1939;180.0;33;295:33;3
220;1386;1559;215.3846153846154;78;74:46,295:32;3
220;845;2261;180.0;45;91:45;3
222;225;194;60.0;37;302:37;3
223;1538;599;60.0;39;302:39;3
223;242;347;60.0;37;302:37;3
224;2232;1914;172.0;60;293:60;3
224;1171;1451;120.0;60;293:60;3
225;239;204;120.0;38;302:38;3
226;202;668;60.0;61;270:61;3
226;204;311;60.0;62;270:62;3
227;222;388;60.0;37;302:37;3
228;210;404;60.0;52;4:52;3
228;214;304;60.0;50;4:50;3
229;227;640;120.0;37;302:37;3
229;246;295;60.0;1;302:1;3
231;240;672;60.0;41;145:41;3
231;212;505;60.0;43;145:43;3
232;226;469;60.0;62;270:62;3
233;209;506;120.0;30;29:30;3
233;234;452;105.88235294117646;51;17:51;3
233;47;213;61.76470588235294;68;17:52,29:16;3
234;233;452;60.0;52;17:52;3
234;243;456;60.0;51;17:51;3
236;210;525;70.8;50;4:50;3
236;215;266;60.0;52;4:52;3
238;245;327;60.0;52;17:52;3
238;215;402;60.0;51;17:51;3
