from_stop_I;to_stop_I;d;duration_avg;n_vehicles;route_I_counts
2197;2195;493;60.0;53;212:8,140:8,302:37
2197;2196;373;60.0;48;212:10,302:38
2197;2198;392;0.0;7;140:7
2198;459;739;60.0;7;140:7
2198;2197;392;0.0;8;140:8
25;2145;1432;120.0;25;211:25
25;685;1131;120.0;25;211:25
154;157;360;60.0;154;146:47,251:14,52:35,318:36,263:22
154;1542;417;60.0;153;146:48,251:13,52:34,318:37,263:21
155;144;241;60.0;34;252:1,318:33
155;132;333;123.42857142857143;35;252:2,318:33
2305;2313;390;60.0;32;194:32
2305;2315;369;240.0;32;194:32
157;1904;2114;180.0;47;146:47
157;154;360;60.0;153;146:48,251:13,52:34,318:37,263:21
157;186;2097;132.33644859813083;107;251:14,52:35,318:36,263:22
159;144;629;60.0;37;32:14,203:23
159;302;1186;120.0;31;32:14,203:17
2208;109;1598;120.0;12;283:1,206:11
2209;2210;327;60.0;17;111:17
2209;974;1296;120.0;17;111:17
2210;2209;327;60.0;17;111:17
2210;714;1846;120.0;17;111:17
2211;2212;682;120.0;32;225:32
2211;2045;872;60.0;35;225:35
164;1120;475;60.0;78;210:33,211:25,252:2,218:18
164;129;451;91.34328358208955;67;218:32,318:35
164;144;849;60.0;66;32:14,203:17,252:2,318:33
164;134;1058;240.0;1;242:1
2213;2212;344;60.0;35;225:35
2213;2357;1159;60.0;32;225:32
2417;2320;476;70.30588235294118;425;289:33,27:37,70:7,297:16,79:47,93:5,81:32,85:16,86:36,91:45,125:32,94:119
2417;1890;1584;204.54545454545453;66;289:33,125:33
2417;1572;13825;967.2289156626506;83;81:32,93:5,79:46
2417;1797;15058;1140.0;36;27:36
2417;1886;2854;120.0;96;297:15,91:45,86:36
2417;830;692;84.08759124087591;137;85:14,94:123
2417;2271;13193;960.0;7;70:7
2216;205;1336;120.0;14;28:14
2216;87;249;60.0;14;28:14
2217;2266;225;60.0;14;28:14
2217;87;363;60.0;14;28:14
172;175;363;60.0;14;60:14
173;177;804;86.47058823529412;34;58:19,60:14,198:1
173;1283;1969;180.0;29;58:20,179:9
173;1284;1997;180.0;15;184:15
173;1729;2534;180.0;9;231:9
173;1211;6622;720.0;2;233:2
173;175;349;60.0;8;179:8
174;99;3156;240.0;10;208:10
174;1149;2622;180.0;12;208:12
175;173;349;97.5;24;179:9,60:14,198:1
177;1729;1865;180.0;34;58:19,60:14,198:1
177;172;691;60.0;14;60:14
177;173;804;60.0;20;58:20
2228;1888;369;120.0;33;125:33
2228;1943;467;108.75;32;125:32
2229;1780;299;60.0;33;11:33
2229;2292;337;50.476190476190474;63;18:30,11:33
2229;1581;527;60.0;32;18:32
2230;1938;678;108.75;32;125:32
2230;1943;184;10.909090909090908;33;125:33
2230;1343;4260;660.0;15;29:15
2231;2273;73;48.0;35;6:35
2231;2253;367;80.0;84;74:46,62:3,6:35
2231;2293;359;54.0;50;74:45,62:5
184;208;489;60.0;121;293:60,270:61
184;240;285;112.25806451612904;62;270:62
184;206;446;60.0;60;293:60
185;188;461;60.0;34;52:34
185;191;547;60.0;35;52:35
2234;2480;1132;120.0;13;97:13
2234;917;343;60.0;6;97:6
2234;53;1057;120.0;10;97:10
187;186;1574;120.0;105;251:13,52:34,318:37,263:21
187;188;1208;120.0;35;52:35
187;674;1315;120.0;72;251:14,318:36,263:22
188;185;461;60.0;35;52:35
188;187;1208;120.0;34;52:34
189;1578;672;60.0;12;137:11,230:1
189;2031;913;120.0;13;137:11,230:2
2238;2249;279;60.0;33;11:33
191;185;547;60.0;34;52:34
191;1314;547;60.0;35;52:35
2240;2312;235;60.0;108;296:62,74:46
2240;2330;395;60.0;107;296:62,74:45
2241;1760;923;120.0;35;6:35
2241;1805;189;60.0;33;11:33
2241;1790;161;60.0;33;11:33
2243;1545;435;120.0;34;21:34
2244;1546;320;120.0;33;21:33
2244;1805;568;111.3157894736842;152;18:30,268:61,269:61
2244;2294;320;60.0;62;296:62
2244;2238;232;60.0;33;11:33
374;1997;610;60.0;79;176:4,178:75
374;535;591;60.0;80;176:7,178:73
2081;1992;454;120.0;8;190:8
2081;2062;445;120.0;8;190:8
2249;2241;214;0.0;33;11:33
2250;1786;227;60.0;34;21:34
2250;2255;579;60.0;33;21:33
203;784;199;0.0;14;28:14
203;205;394;60.0;14;28:14
204;226;311;60.0;61;270:61
204;244;672;0.0;62;270:62
205;2216;1336;120.0;14;28:14
205;203;394;60.0;14;28:14
206;775;251;52.0;60;293:60
2255;2270;150;60.0;33;21:33
208;184;489;60.0;122;293:60,270:62
208;1848;1091;120.0;61;270:61
208;1788;915;112.0;60;293:60
209;233;506;60.0;16;29:16
209;243;503;60.0;30;29:30
210;236;525;109.61538461538461;52;4:52
210;228;404;49.2;50;4:50
35;585;477;120.0;47;23:47
35;580;283;60.0;49;23:49
212;1402;12993;1140.0;43;145:43
212;231;505;60.0;41;145:41
214;2403;204;60.0;50;4:50
214;228;304;55.38461538461539;52;4:52
215;1890;744;105.88235294117646;51;17:51
215;236;266;49.2;50;4:50
215;238;402;60.0;52;17:52
215;247;106;60.0;52;4:52
2265;2266;467;60.0;14;28:14
2266;2217;225;60.0;14;28:14
2266;2265;467;180.0;14;28:14
2266;1343;1729;120.0;2;48:2
2266;1687;1937;120.0;1;48:1
2267;2272;231;112.28571428571429;280;18:30,21:33,296:62,11:33,268:61,269:61
2267;1555;390;113.11475409836065;61;270:61
2267;1539;389;99.66101694915254;118;74:45,62:5,6:35,295:33
2267;1764;57;120.0;97;272:35,270:62
2267;2307;645;60.0;13;84:13
2267;2233;394;112.0;60;293:60
2268;1780;228;60.0;33;11:33
2268;1790;197;47.27272727272727;33;11:33
2269;1573;649;60.0;48;272:34,84:14
2269;2335;337;33.75;48;272:35,84:13
2270;2250;433;60.0;34;21:34
2271;2417;13193;960.0;7;70:7
2271;2307;680;60.0;2;310:2
2271;406;3208;360.0;7;70:7
2271;1567;1585;180.0;3;310:3
2272;2267;231;120.0;217;296:62,18:32,268:61,269:62
2272;2244;179;60.0;280;18:30,21:33,296:62,11:33,268:61,269:61
2273;2344;218;60.0;62;296:62
2273;1544;247;60.0;35;6:35
2273;1782;339;60.0;62;296:62
2274;1829;1834;180.0;33;208:33
2274;1927;1018;120.0;32;208:32
2275;1728;279;0.0;61;270:61
228;210;404;60.0;52;4:52
228;214;304;60.0;50;4:50
2277;2331;336;60.0;45;91:45
2278;2280;251;60.0;33;11:33
2278;2286;220;0.0;33;11:33
231;240;672;60.0;41;145:41
231;212;505;60.0;43;145:43
2280;2278;251;60.0;33;11:33
